name_of_text,text
title,Platformer
play_button,Продолжить
setting_button,Настройки
load_text,"И помни больше никаких глупых приписок в конце|Удачи!|Дорогу осилит идущий|С благословением преграды не ведомы!|Какое счастье ты выберешь сегодня?|Дальше - Больше!|Ты ничего не забыл?|Осторожно, мистер Горный козёл следит за вами!|Подождите, ваше присутствие очень важно для нас|Холодный взгляд смотрящего выражает интерес|Путник, что ты ищешь?"
king_replic_1,"Здравствуй путник, что завело тебя в столь дальние края? Приключения, богатства, слава? Или может на слышен ты о его величестве Короле без королевтсва? Что ж, если тебя интересует последнее, то вот он Я, во всей своей красе!"
hero_king_replic_1,Вы не знаете как мне вернуться наверх?
hero_king_replic_2,"Король без королевтсва, это как Капитан без Коробля, как Луна без Земли, как БЛИНЧИКИ БЕЗ ВАРЕНЬЯ! Как так получилось?"
hero_replic_bye,Пока!
king_replic_2,"Слышал, если идти далеко на восток, то там где-то имеется загадочный ~колодец~, но это лишь легенды."
king_replic_3,"Когда я был совсем маленьким... и глупым... (И рассказал Король всю свою жизнь вам. Да не просто рассказал, а издалека начал. Рассказал про первую скарлатину, про первую двойку, про то, как отец его в угол ставил, и про то, как курить пробовал. Что, несмотря на все свои недостатки, вырос он весёлым, крепким, выносливым и очень сильным. И слава о мудрости его и благородстве облетела все земли. И трепещут враги его, и нет ему в мире равных.) Ах, да, совсем забылся в своём прошлом. Королевства то у меня никогда и не было, но я считаю, что нигогда не поздно его основать! Даже пословица есть, как там: ""Мужчина за жизнь должен посадить сына, построить дерево и образовать королевство..."" Ну или около того."
hero_king_replic_3,"Хороший у вас настрой, может вам чем я смогу помочь, а вы чур назовёте там что-нибудь в честь великого, естественно не столь великого как вы, меня?"
king_replic_4,"Знаешь, хотим мы этого или нет, но миром правят деньги... Эх... Так что буду весьма признателен, если наткнувшись в своих приключениях на червонцы, ты занесёшь их мне. А я буду давать мудрые советы и может некоторые артефакты."
king_replic_5,"О, снова ты! Здравствуй!"
king_name,Король без королевства
t_to_talk,"Нажмите T, чтобы поговорить"
gugunek_name,Гугунёк
gugunek_replic_1,"Встань на колени неведующий, ибо пред тобой самый грозный войн всея пещеры - ГУГУНЁК!"
hero_gugunek_replic_1,"О, прекланяюсь перед вами, может столь легендарный герой знает, где мне натйи выход из этой пещеры?"
gugunek_replic_2,"Не вижу смысла отсюда бежать, выходов не знаю за ненадобностью. Но есть у меня некий ключ, добытый в боях с Гидрой Семиглавой, может он что-то открывает, может выход, но я тебе его не дам... Может если найдёшь мой верный топор, потеряный в великих моих сражениях, то я и отдам его тебе. Правда сомневаюсь, что он тебе поможет, посмотри на себя, да тебе ветерок пополам сломает!"
hero_gugunek_replic_2,"Какой же ты мимимишный, и имя такое смешное и милое!"
